epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.87756,0.75177,3.0855,1.19294,0.00919,0.92394,0.28861,0.23811,0.48814,2.84343,0.99568,0.000324561,0.000324561,0.000324561
2,17.6994,0.77624,2.19305,1.1892,0.53343,0.45029,0.45182,0.35131,0.64437,1.82128,1.17464,0.000656592,0.000656592,0.000656592
3,26.0054,0.77895,1.88079,1.16262,0.68888,0.54928,0.65439,0.45466,0.90099,1.91952,1.36123,0.000987303,0.000987303,0.000987303
4,34.007,0.82026,1.6848,1.17418,0.62804,0.7115,0.79172,0.63558,0.66551,1.53563,1.11042,0.00099406,0.00099406,0.00099406
5,42.0034,0.77656,1.50117,1.15435,0.76349,0.76951,0.82652,0.67844,0.6105,1.0958,1.07859,0.00099208,0.00099208,0.00099208
6,49.7726,0.73793,1.27415,1.15053,0.80713,0.8037,0.88808,0.75106,0.53579,0.99951,1.01994,0.0009901,0.0009901,0.0009901
7,57.4713,0.72241,1.1914,1.1137,0.78515,0.78268,0.88447,0.73523,0.6107,1.07534,1.07911,0.00098812,0.00098812,0.00098812
8,65.1078,0.73022,1.1589,1.12926,0.84707,0.83465,0.91355,0.73935,0.65659,1.093,1.09471,0.00098614,0.00098614,0.00098614
9,73.019,0.70402,1.05555,1.09291,0.93096,0.89254,0.95494,0.82397,0.53617,0.7604,1.02369,0.00098416,0.00098416,0.00098416
10,80.8354,0.71203,1.02083,1.12292,0.78134,0.77753,0.88312,0.74501,0.56379,0.92821,1.06849,0.00098218,0.00098218,0.00098218
11,89.0032,0.6407,0.88896,1.06884,0.94334,0.92228,0.96717,0.87235,0.4542,0.70963,0.95304,0.0009802,0.0009802,0.0009802
12,96.6468,0.66459,0.85791,1.07939,0.9261,0.92809,0.97746,0.88182,0.43915,0.56113,0.94287,0.00097822,0.00097822,0.00097822
13,104.357,0.6672,0.84346,1.07448,0.93108,0.94825,0.97637,0.88289,0.44612,0.51894,0.94403,0.00097624,0.00097624,0.00097624
14,112.188,0.63993,0.76843,1.06114,0.94305,0.9478,0.95772,0.83541,0.5698,0.62617,1.0389,0.00097426,0.00097426,0.00097426
15,119.811,0.6536,0.77113,1.07147,0.87999,0.95249,0.97109,0.8393,0.52284,0.60015,1.00523,0.00097228,0.00097228,0.00097228
16,127.323,0.62769,0.73997,1.05972,0.91683,0.93726,0.96857,0.88275,0.42531,0.50584,0.92701,0.0009703,0.0009703,0.0009703
17,135.204,0.60059,0.73618,1.05946,0.95918,0.98731,0.98778,0.91069,0.37867,0.43871,0.89827,0.00096832,0.00096832,0.00096832
18,142.714,0.62076,0.67899,1.05344,0.97422,0.96168,0.9849,0.90541,0.4042,0.42786,0.91904,0.00096634,0.00096634,0.00096634
19,150.538,0.62037,0.67334,1.06688,0.95248,0.97648,0.98873,0.89272,0.42428,0.54959,0.94756,0.00096436,0.00096436,0.00096436
20,158.346,0.62294,0.68773,1.06455,0.9574,0.95966,0.98887,0.8735,0.46459,0.4912,0.96754,0.00096238,0.00096238,0.00096238
21,165.936,0.61886,0.63858,1.04959,0.91857,0.95753,0.95617,0.87453,0.41107,0.46842,0.93127,0.0009604,0.0009604,0.0009604
22,173.906,0.59961,0.64526,1.05035,0.96573,0.99041,0.99239,0.91332,0.37555,0.39851,0.90184,0.00095842,0.00095842,0.00095842
23,181.921,0.5975,0.59948,1.05555,0.96946,0.96853,0.9861,0.89727,0.4315,0.44239,0.92956,0.00095644,0.00095644,0.00095644
24,189.863,0.59594,0.6092,1.04316,0.97153,0.96556,0.99319,0.9195,0.39146,0.3913,0.91265,0.00095446,0.00095446,0.00095446
25,198.035,0.56352,0.57138,1.02862,0.9858,0.98082,0.99436,0.93054,0.37934,0.38369,0.90158,0.00095248,0.00095248,0.00095248
26,206.201,0.59447,0.58092,1.04396,0.98634,0.99053,0.99437,0.91816,0.39637,0.37751,0.90877,0.0009505,0.0009505,0.0009505
27,214.206,0.57562,0.54346,1.02954,0.98533,0.97585,0.99356,0.91283,0.39641,0.35918,0.90599,0.00094852,0.00094852,0.00094852
28,222.346,0.59157,0.57458,1.05245,0.92357,0.97297,0.98658,0.91979,0.36169,0.43921,0.88998,0.00094654,0.00094654,0.00094654
29,230.548,0.61346,0.60752,1.03823,0.96928,0.98169,0.99201,0.92112,0.36469,0.38045,0.89991,0.00094456,0.00094456,0.00094456
30,238.286,0.57255,0.54346,1.03764,0.97798,0.9823,0.99268,0.91728,0.36831,0.375,0.90203,0.00094258,0.00094258,0.00094258
31,245.948,0.5859,0.55105,1.03325,0.97035,0.95607,0.98837,0.90605,0.38589,0.44152,0.90536,0.0009406,0.0009406,0.0009406
32,253.658,0.56991,0.53059,1.03135,0.98806,0.99175,0.99482,0.92233,0.35901,0.36311,0.89874,0.00093862,0.00093862,0.00093862
33,261.213,0.56155,0.50609,1.03916,0.92609,0.93193,0.98281,0.91614,0.34612,0.41459,0.87987,0.00093664,0.00093664,0.00093664
34,269.035,0.55647,0.51198,1.0367,0.97611,0.98514,0.9943,0.92857,0.35134,0.3465,0.881,0.00093466,0.00093466,0.00093466
35,277.089,0.57276,0.50602,1.0272,0.96073,0.98078,0.99182,0.90457,0.36254,0.35548,0.88249,0.00093268,0.00093268,0.00093268
36,285.267,0.58375,0.51158,1.04292,0.98489,0.9817,0.99432,0.93018,0.35705,0.33926,0.88428,0.0009307,0.0009307,0.0009307
37,293.171,0.57184,0.52934,1.02853,0.97312,0.98339,0.99128,0.91916,0.36786,0.36494,0.89373,0.00092872,0.00092872,0.00092872
38,301.043,0.54675,0.49277,1.03453,0.98118,0.98919,0.98999,0.92075,0.34962,0.34509,0.88608,0.00092674,0.00092674,0.00092674
39,308.824,0.52044,0.47713,1.00305,0.97293,0.98402,0.99065,0.92979,0.33898,0.35746,0.86901,0.00092476,0.00092476,0.00092476
40,316.495,0.54701,0.49464,1.01965,0.98815,0.99396,0.99485,0.93898,0.32032,0.29502,0.85691,0.00092278,0.00092278,0.00092278
41,324.367,0.5364,0.46823,1.02648,0.96831,0.95985,0.98131,0.87891,0.43581,0.40049,0.9387,0.0009208,0.0009208,0.0009208
